grid_cell,metric,trend_mean,trend_l95,trend_u95,p_pos,sig95
559,corrected_richness,3.6901963859048137,3.2326356225179693,4.047032222993718,1,TRUE
560,corrected_richness,3.5023551397254633,3.0542896445228753,3.8794610264873985,1,TRUE
561,corrected_richness,2.6643413648905416,2.320227186734997,3.015303011713915,1,TRUE
563,corrected_richness,2.2896213777907133,1.907912948584595,2.597602796391149,1,TRUE
564,corrected_richness,2.3191657380930164,1.9502967787055132,2.7095327755505094,1,TRUE
592,corrected_richness,2.7078804384643043,2.2924778688267256,3.0800194182504614,1,TRUE
593,corrected_richness,3.144107095981609,2.7595460428787786,3.4811537002931807,1,TRUE
625,corrected_richness,2.6366433290606706,2.1897285110181004,3.012890298489149,1,TRUE
626,corrected_richness,2.6750413701602764,2.229057559131741,3.0447043828596096,1,TRUE
627,corrected_richness,2.55072431930305,2.1423970594609245,2.913490028020505,1,TRUE
628,corrected_richness,2.657217734054799,2.254478424055191,3.0541046599307995,1,TRUE
629,corrected_richness,2.5061166099828975,2.119071344272293,2.897524302787126,1,TRUE
630,corrected_richness,2.7206945772771487,2.282140769847849,3.1118843220722443,1,TRUE
631,corrected_richness,2.6141019907674354,2.166059383507994,3.0373031976074967,1,TRUE
632,corrected_richness,2.647317072317794,2.1949386976440253,3.1180224695221725,1,TRUE
634,corrected_richness,2.5049884226009174,2.093958493353174,2.897138118920279,1,TRUE
635,corrected_richness,2.482987544845907,2.1094361611457693,2.8674931428749657,1,TRUE
636,corrected_richness,2.7061819850730124,2.3656539923301114,3.10745698322118,1,TRUE
637,corrected_richness,3.022096853265229,2.609033297798947,3.4669367999522347,1,TRUE
640,corrected_richness,2.5492040880688096,2.197937807329888,2.9212840743697597,1,TRUE
663,corrected_richness,3.116992165881069,2.7291100286575003,3.456403038565246,1,TRUE
664,corrected_richness,3.215828723956219,2.868042466502322,3.5234341175206683,1,TRUE
665,corrected_richness,3.291102333284659,2.9193128486206588,3.622530827793874,1,TRUE
666,corrected_richness,3.214600984366932,2.8316098655359827,3.5404188536880197,1,TRUE
696,corrected_richness,3.390141933172084,2.9358533665743884,3.81983468005954,1,TRUE
698,corrected_richness,3.03848899994103,2.5932437707494556,3.416416980555784,1,TRUE
699,corrected_richness,3.047125240077819,2.6269860969858962,3.443818514934827,1,TRUE
700,corrected_richness,3.9441225330271967,3.3713625249389287,4.43611992082426,1,TRUE
701,corrected_richness,3.4521843521441418,2.951659943762401,3.900318809525601,1,TRUE
702,corrected_richness,2.85261077605526,2.314202314023858,3.341420424813633,1,TRUE
704,corrected_richness,2.980487738542215,2.5926598173073185,3.43284501433789,1,TRUE
705,corrected_richness,3.3522037014200388,2.8048124571471296,3.957955083132498,1,TRUE
706,corrected_richness,3.910335707358942,3.4083010276568864,4.369877323038779,1,TRUE
708,corrected_richness,3.3492529547625285,2.939879888453134,3.748428197629583,1,TRUE
710,corrected_richness,3.2400437889384297,2.866286736941199,3.6338921192018,1,TRUE
711,corrected_richness,3.411589040825723,3.0229549730769123,3.8036070086048466,1,TRUE
712,corrected_richness,3.04888634989851,2.707703859689704,3.4529536138446275,1,TRUE
716,corrected_richness,3.2079903958936073,2.8317827733018177,3.6384927048078217,1,TRUE
717,corrected_richness,2.9276231273690425,2.498055048370363,3.343719212360893,1,TRUE
735,corrected_richness,2.8605048194587246,2.487630976050892,3.2265524686845533,1,TRUE
736,corrected_richness,3.053438431655226,2.6643842984740327,3.4201557763804247,1,TRUE
737,corrected_richness,2.901279945685229,2.5844214253036073,3.2323972745138425,1,TRUE
738,corrected_richness,2.896815442849412,2.4896046260509053,3.3180058819589955,1,TRUE
772,corrected_richness,2.8032716616998736,2.3190448448016636,3.2613554689963133,1,TRUE
773,corrected_richness,2.8416912326247012,2.408040590713481,3.2535391981986757,1,TRUE
